n_doping,p_doping,Temp,tpe,tph,vin,iout
1.50E+01,1.50E+01,300,10000000,10000000,0.5,-7.581698709
1.50E+01,1.50E+01,300,10000000,10000000,0.55,-7.015472687
1.50E+01,1.50E+01,300,10000000,10000000,0.6,-6.588380294
1.50E+01,1.50E+01,300,10000000,10000000,0.65,-6.297569464
1.50E+01,1.50E+01,300,10000000,10000000,0.7,-6.11407366
1.50E+01,1.50E+01,300,10000000,10000000,0.75,-6
1.50E+01,1.50E+01,300,10000000,10000000,0.8,-5.924453039
1.50E+01,1.50E+01,350,1000,1000,-0.2,-12.37882372
1.50E+01,1.50E+01,350,1000,1000,-0.15,-12.39361863
1.50E+01,1.50E+01,350,1000,1000,-0.1,-12.41566878
1.50E+01,1.50E+01,350,1000,1000,-0.05,-12.50445566
1.50E+01,1.50E+01,350,1000,1000,0,-18.58838029
1.50E+01,1.50E+01,350,1000,1000,0.05,-11.82973828
1.50E+01,1.50E+01,350,1000,1000,0.1,-11.06803389
1.50E+01,1.50E+01,350,1000,1000,0.15,-10.37675071
1.50E+01,1.50E+01,350,1000,1000,0.2,-9.707743929
1.50E+01,1.50E+01,350,1000,1000,0.25,-9.059483515
1.50E+01,1.50E+01,350,1000,1000,0.3,-8.437707136
1.50E+01,1.50E+01,350,1000,1000,0.35,-7.853871964
1.50E+01,1.50E+01,350,1000,1000,0.4,-7.33442009
1.50E+01,1.50E+01,350,1000,1000,0.45,-6.899629455
1.50E+01,1.50E+01,350,1000,1000,0.5,-6.571865206
1.50E+01,1.50E+01,350,1000,1000,0.55,-6.339134522
1.50E+01,1.50E+01,350,1000,1000,0.6,-6.181774106
1.50E+01,1.50E+01,350,1000,1000,0.65,-6.076238039
1.50E+01,1.50E+01,350,1000,1000,0.7,-6.003050752
1.50E+01,1.50E+01,350,1000,1000,0.75,-5.950781977
1.50E+01,1.50E+01,350,1000,1000,0.8,-5.910094889
1.50E+01,1.50E+01,350,1000,100000,-0.2,-12.37882372
1.50E+01,1.50E+01,350,1000,100000,-0.15,-12.39361863
1.50E+01,1.50E+01,350,1000,100000,-0.1,-12.41566878
1.50E+01,1.50E+01,350,1000,100000,-0.05,-12.50445566
1.50E+01,1.50E+01,350,1000,100000,0,-18.58838029
1.50E+01,1.50E+01,350,1000,100000,0.05,-11.82973828
1.50E+01,1.50E+01,350,1000,100000,0.1,-11.06803389
1.50E+01,1.50E+01,350,1000,100000,0.15,-10.37675071
1.50E+01,1.50E+01,350,1000,100000,0.2,-9.707743929
1.50E+01,1.50E+01,350,1000,100000,0.25,-9.059483515
1.50E+01,1.50E+01,350,1000,100000,0.3,-8.437707136
